PRECP,TMAX,TMIN,TMEAN,DISCH,SEDM
0.001272872,0.309533183,0.163479951,0.079054777,0.010278249,
0.003523128,0.420965238,0.256641883,0.217773387,0.004195073,
0.137311058,0.419730867,0.408128269,0.306372549,0.001530623,
0.131201273,0.341904762,0.49330742,0.298281353,0.002491429,
0.316626889,0.348256468,0.485581183,0.29848404,0.007813544,3.25E-06
0.22442323,0.252403449,0.456391057,0.209268193,0.043281083,
0.683850438,0.122834645,0.432707423,0.097993298,0.376983406,
0.461256961,0.170528684,0.40612764,0.118093044,0.611961804,
0.343293556,0.196610423,0.340326007,0.098787154,0.438550545,
0.188703262,0.205849269,0.374403384,0.125862694,0.163331853,
0.038308141,0.305639295,0.307544276,0.161270902,0.04961441,
0.001750199,0.337232846,0.256937895,0.155083333,0.019163014,
0.002863962,0.402249718,0.320386407,0.241394005,0.008855465,
0.016030231,0.492977663,0.343342602,0.323077876,0.004201776,
0,1,0.844638663,1,0.001140326,
0.027950146,0.607619048,0.596968571,0.559037552,0,
0.142720764,0.445669291,0.497584955,0.378714118,0.002982835,
0.390808804,0.278440195,0.469385616,0.236495748,0.086349891,
0.789498806,0,0.455000143,0.018945559,0.373333024,
1,0.045669291,0.42556232,0.035836101,0.850846136,0.000530613
0.407743304,0.162437195,0.371335753,0.091456658,0.533238226,0.002883235
0.015910899,0.346006749,0.280659636,0.175689795,0.086000379,
0.04077433,0.36150385,0.280019435,0.186946431,0.029123412,
0.05043755,0.370753656,0.221498185,0.159305969,0.016540191,
0,0.42992126,0.294378233,0.24679898,0.007937307,
0,0.492230435,0.385427257,0.347388193,0.005787291,
0.036117741,0.545556805,0.436137072,0.41739346,0.00495826,
0.056886767,0.502774653,0.606419161,0.485907132,0.004590316,
0.159745426,0.46231721,0.594186744,0.448303154,0.005362356,
0.120021215,0.427454068,0.539969705,0.390087084,0.020346232,
0.635958632,0.080539933,0.482723142,0.095797527,0.270754974,
0.642163882,0.115635545,0.468432937,0.113701502,0.653790122,
0.303998939,0.202654668,0.347118618,0.107339399,0.430282592,
0.00795545,0.330258718,0.263511389,0.153732089,0.10677064,
0.038472554,0.344461942,0.285099126,0.177153641,0.072774339,
0.041596394,0.314008249,0.267674603,0.143991876,0.054130004,
0.006841687,0.382002249,0.265226214,0.19359377,0.030982475,
0.002040984,0.516682828,0.414494802,0.382925105,0.01415582,
0.078599841,0.49336333,0.481294122,0.404894459,0.013339524,
0.151424025,0.438845144,0.566844818,0.414522068,0.013563621,
0.232458234,0.283239595,0.500442997,0.258453454,0.034063321,
0.323892867,0.191728534,0.430106605,0.148180731,0.248403922,
0.55592681,0.109561305,0.443282175,0.094277378,0.783833335,
0.595067621,0.134758155,0.424704908,0.102215934,0.878494057,
0.255497216,0.241709786,0.373993732,0.152544121,0.443925507,
0.048687351,0.325984252,0.260939152,0.149002737,0.159837758,
0.125282418,0.270303712,0.285689788,0.121825854,0.095109903,
0.007000796,0.318110236,0.221783989,0.119951003,0.065002585,
0.005409706,0.339482564,0.249792792,0.152549751,0.045515012,
0,0.447147678,0.293663723,0.259310045,0.033375955,
0.117263325,0.492013498,0.508369297,0.419882001,0.027428118,
0.07086184,0.414435696,0.495670068,0.354132748,0.020197684,
0.314399364,0.343532058,0.471290977,0.286491754,0.031494142,
0.353651551,0.250776153,0.4673183,0.214504262,0.209620913,
0.715513126,0.085264342,0.458429792,0.084987581,0.620807145,
0.666666667,0.151631046,0.446140216,0.127551748,0.654757277,
0.323892867,0.303082115,0.40913811,0.219391259,0.347883865,
0.485282418,0.272440945,0.343250736,0.157448008,0.257216204,
0.020222753,0.346089239,0.287757105,0.179946211,0.237173869,
0.131264916,0.305961754,0.298379491,0.156096765,0.072222812,
0.021638823,0.409223847,0.317528366,0.24494102,0.047422582,
0.01716961,0.484010927,0.349987547,0.32027284,0,
0.01716961,0.551261449,0.526924226,0.475330102,0,
0.011344471,0.654578177,0.68379586,0.645607213,0.001916681,
0.323945903,0.429471316,0.606476321,0.430905894,0.006809217,
0.20748873,0.357247844,0.50275801,0.315385843,0.045610723,
0.637390613,0.045669291,0.475578039,0.065394551,0.292592922,
0.653619729,0.060967379,0.466146503,0.071306241,0.601181448,
0.4024821,0.188241469,0.401459507,0.128632743,0.40269399,
0.120763723,0.262767154,0.365257653,0.163190793,0.121287689,
0.000822063,0.352830896,0.186753932,0.125316566,0.036954303,
0,0.382677165,0.120609334,0.10863434,0.036446503,
0.054892601,0.364454443,0.244638791,0.168252325,0.028103114,
0,0.551414727,0.394530589,0.397202765,0.005984954,
0,0.547806524,0.362771157,0.375724492,0.001736332,
0.019893927,0.575073116,0.539755845,0.500790806,0.000919373,
0.065552904,0.526884139,0.492440482,0.436648679,0.001718591,
0.298244497,0.443262092,0.446940467,0.346976788,0.020298801,
0.758154336,0.030393701,0.421846866,0.022171652,0.310482414,
0.550039777,0.08031496,0.430992598,0.06505674,0.424208308,
0.4024821,0.188241469,0.358045862,0.102976008,0.228897769,
0.398727128,0.158830146,0.356683529,0.080089323,0.259282585,
0.018414214,0.308661417,0.157516172,0.074875776,0.055246605,
0.031026253,0.352530934,0.214353083,0.141401993,0.039169294,
0,0.397258676,0.230378527,0.184453663,0.031628722,
0.01716961,0.508265777,0.332311337,0.328036665,0,
0.010023866,0.590776153,0.443282175,0.455566087,0.005592693,
0.194500133,0.350738657,0.427743957,0.266166801,0.010074981,
0.097215593,0.459617548,0.485009575,0.381754415,0.006659265,
0.276377619,0.357480315,0.429515943,0.272275548,0.056804694,
0.67398568,0.132058493,0.406985053,0.089716933,0.467739743,
0.735719968,0.113610799,0.400697362,0.072150768,0.750106934,
0.381930522,0.191496063,0.351843913,0.101754259,0.232691073,
0.219411297,0.191001125,0.346108777,0.097993298,0.208357035,
0.057215593,0.301222347,0.266197948,0.13351974,0.056081592,
0.000795545,0.383127109,0.209208609,0.161332833,0.022181486,
0,0.399775028,0.148618137,0.138023884,0.012708599,
0.002290033,0.553004981,0.377833033,0.388528729,0.0073078,
0.021320605,0.491563555,0.471576782,0.397800431,0.006350491,
0.069382127,0.570423697,0.55119228,0.504058835,0.00449109,
0.136356404,0.457592801,0.572465632,0.431919327,0.006665883,
0.383410236,0.211023622,0.444873151,0.171393966,0.062423067,
0.611933174,0.09583802,0.43185001,0.077217931,0.40297735,
0.728560063,0.088188976,0.459858813,0.088027878,0.798716145,
0.294463007,0.233108362,0.33471472,0.122873068,0.251146764,
0.10230708,0.331383577,0.33867787,0.198998743,0.060081059,
0.041267568,0.344461942,0.193546543,0.123047604,0.025293153,
0.025616547,0.398875141,0.243219298,0.193255959,0.015202731,
0.001431981,0.409223847,0.222355598,0.188695513,0.011220061,
0.001585407,0.558235578,0.353151807,0.377869591,0.007671014,
