Date,DMAX,DMIN,MMAX,MMIN,BMAX,BMIN
12/31/2005,22.72258065,6.948387097,27.52258065,1.990322581,29.13548387,4.425806452
1/31/2006,23.73870968,8.512903226,28.69032258,4.470967742,30.18387097,5.419354839
2/28/2006,25.06428571,9.857142857,29.88214286,7.142857143,31.90357143,7.45
3/31/2006,25.17741935,10.73548387,29.16774194,8.729032258,32.10322581,8.593548387
4/30/2006,24.39666667,10.50333333,28.65666667,9.886666667,32.28,11.80666667
5/31/2006,22.61290323,10.3516129,26.49032258,10.48064516,30.29354839,13.9516129
6/30/2006,21.57,10.26333333,23.80333333,10.18333333,28.35333333,13.28
7/31/2006,19.51612903,10.3516129,21.97419355,11.35806452,25.30322581,14.18064516
8/31/2006,19.27096774,10.27741935,21.87419355,11.22903226,24.34516129,14.16129032
9/30/2006,20.65,9.533333333,23.18,9.41,25.73333333,13.41666667
10/31/2006,23.12580645,9.093548387,25.88709677,8.761290323,27.06129032,13.61935484
11/30/2006,22.37666667,7.98,26.25333333,6.87,27.04,11.23333333
12/31/2006,21.99677419,7.596774194,26.14193548,6.422580645,27.39677419,8.790322581
1/31/2007,22.6,8.158064516,26.5516129,6.270967742,28.1,7.148387097
2/28/2007,24.51428571,9.507142857,28.4,7.553571429,30.6,8.296428571
3/31/2007,26.03870968,10.69354839,29.73225806,8.65483871,32.5483871,10.98064516
4/30/2007,24.86333333,11.06333333,28.04,10.54333333,32.09333333,12.12333333
5/31/2007,24.66129032,11.60967742,27.72258065,11.21612903,31.21612903,13.68709677
6/30/2007,20.92,10.85333333,23.13666667,10.99333333,26.83333333,14.41333333
7/31/2007,18.10322581,10.48709677,21.60645161,12.51290323,24.56129032,14.25806452
8/31/2007,19.23,10.08709677,22.31935484,11.17419355,24.6,13.63870968
9/30/2007,20.51666667,9.666666667,23.91666667,10.14666667,25.11,13.28
10/31/2007,21.52258065,7.929032258,27.00645161,11.66,27.02903226,12.79354839
11/30/2007,22.48666667,7.513333333,27.12,4.595238095,27.43666667,10.32333333
12/31/2007,22.58709677,7.367741935,27.60645161,2.267741935,28.3,6.561290323
1/31/2008,22.76774194,8.383870968,28.19032258,5.987096774,29.2516129,8.774193548
2/29/2008,23.58275862,8.603448276,28.82413793,6.224137931,30.68965517,9.45862069
3/31/2008,25.58709677,10.02258065,30.62258065,5.825806452,31.92580645,10.1
4/30/2008,24.2125,10.7125,28.22333333,9.746666667,30.04333333,13.29655172
5/31/2008,22.21290323,10.88333333,26.14193548,10.52903226,28.84516129,14.14516129
6/30/2008,20.63333333,10.34333333,23.56,10.74666667,27.24,13.73666667
7/31/2008,19.19354839,10.02580645,22.43225806,10.42903226,25.70967742,13.41612903
8/31/2008,19.52258065,10.26451613,22.74193548,10.79677419,25.31935484,13.03548387
9/30/2008,20.47333333,9.526666667,24.18333333,9.533333333,26.47333333,13.06333333
10/31/2008,21.72258065,9.012903226,25.28709677,8.025806452,27,12.69032258
11/30/2008,21.98333333,7.963333333,25.6,5.556666667,27.05666667,9.13
12/31/2008,21.85806452,8.038709677,26.58709677,4.493548387,27.86451613,6.732258065
1/31/2009,22.85806452,8.048387097,27.85806452,4.141935484,28.68064516,6.3
2/28/2009,24.05714286,10.12142857,28.78214286,8.228571429,30.94285714,10.10714286
3/31/2009,24.8483871,10.56451613,29.20967742,9.122580645,32.03870968,12.69677419
4/30/2009,25.03666667,11.54666667,29.57666667,9.666666667,31.68,13.32333333
5/31/2009,25.42258065,11.6,35.98571429,21.46428571,31.60645161,14.16129032
6/30/2009,24.21666667,10.81,37.172,24.08,29.91,14.14
7/31/2009,19.33548387,10.58387097,22.06774194,11.47419355,25.66451613,14.34193548
8/31/2009,19.42580645,10.68709677,22.71935484,11.60322581,25.33333333,14.83
9/30/2009,21.24666667,9.573333333,24.53333333,8.743333333,26.8,13.08333333
10/31/2009,21.26451613,8.616129032,26.09032258,7.874193548,27.26451613,12.59677419
11/30/2009,23.07333333,8.266666667,27.73666667,4.896666667,29.02,9.436666667
12/31/2009,22.5483871,8.041935484,26.70645161,6.419354839,28.34516129,5.790322581
1/31/2010,22.60967742,8.25483871,27.42258065,5.622580645,27.05483871,8.35483871
2/28/2010,24.39642857,9.6,28.87142857,7.857142857,,
3/31/2010,24.8,8.719354839,28.75483871,8.732258065,,
4/30/2010,24.80666667,6.893333333,28.46666667,11.38666667,,
5/31/2010,23.81612903,5.235483871,26.89354839,11.57096774,,
6/30/2010,23.29,8.906666667,24.62666667,11.28666667,28.01,14.55
7/31/2010,18.92903226,9.967741935,21.51612903,11.20967742,24.75483871,14.28387097
8/31/2010,19.1516129,9.258333333,22.07096774,11.72580645,24.89677419,14.38064516
9/30/2010,20.47666667,9.293333333,23.84666667,10.31333333,25.9862069,13.46551724
10/31/2010,21.91935484,9.035483871,26.20322581,7.938709677,27.77741935,12.4483871
11/30/2010,22.16333333,8.326666667,26.16666667,6.343333333,28.68666667,9.403333333
12/31/2010,21.62903226,8.009677419,25.20322581,5.470967742,,
1/31/2011,22.26774194,8.374193548,26.33225806,6.083870968,28.99354839,6.525806452
2/28/2011,24.7,8.967857143,29.07857143,4.414285714,31.425,5.925
3/31/2011,23.34516129,10.09677419,21.11612903,8.548387097,30.52666667,10.13666667
4/30/2011,25.05333333,9.626666667,29.67333333,9.91,31.83,13.51666667
5/31/2011,23.22580645,8.729032258,26.43870968,10.82903226,30.50645161,14.15483871
6/30/2011,21.89666667,8.823333333,23.64333333,11.2,28.15,14.06666667
7/31/2011,19.75483871,8.358064516,22.01290323,10.57741935,25.35483871,13.81935484
8/31/2011,19.33225806,9.65483871,22.01290323,11.40645161,24.83548387,14.04193548
9/30/2011,20.25333333,9.12,23.04,9.743333333,25.87931034,13.35172414
10/31/2011,22.2516129,7.764516129,26.49032258,6.551612903,27.85,12.06451613
11/30/2011,21.45333333,8.306666667,25.51333333,7.636666667,27.15666667,10.02413793
12/31/2011,21.92903226,7.509677419,26.64516129,4.616129032,27.98709677,6.496774194
1/31/2012,23.14516129,7.932258065,27.89354839,4.277419355,29.20967742,6.358064516
2/29/2012,25.03103448,9.065517241,29.44482759,4.462068966,31.39310345,7.882758621
3/31/2012,25.67096774,10.37741935,29.12903226,7.590322581,32.20645161,11.65483871
4/30/2012,25.84,11.24,29.05666667,8.416666667,31.78,10.43333333
5/31/2012,25.57741935,11.62903226,28.40322581,9.861290323,31.81612903,13.5
6/30/2012,23.43,10.06,24.78,11.13666667,29.18,13.71
7/31/2012,21.19354839,9.84516129,21.32580645,11.0483871,25.21290323,13.5483871
8/31/2012,20.05806452,9.722580645,21.99032258,10.82258065,24.84516129,13.1
9/30/2012,21.13,9.236666667,23.23666667,8.98,26.03,12.34666667
10/31/2012,23.41290323,7.909677419,25.86774194,6.577419355,27.98064516,11.13870968
11/30/2012,23.06666667,8.1,25.9,7.496666667,27.67666667,10.85666667
12/31/2012,24.10645161,6.887096774,26.38709677,5.329032258,27.78709677,8.14516129
1/31/2013,25.23225806,7.996774194,27.98064516,5.029032258,28.80967742,6.483870968
2/28/2013,26.025,9.542857143,29.91428571,6.878571429,31.36785714,7.903571429
3/31/2013,25.73,10.26333333,29.36774194,9.148387097,32.15483871,10.38387097
4/30/2013,26.61666667,9.522222222,30.36666667,9.036666667,32.34333333,9.246666667
5/31/2013,25.69032258,11.49354839,28.0483871,10.86774194,31.00967742,13.54516129
6/30/2013,24.19,9.54137931,24.44,11.12333333,28.53103448,14.52380952
7/31/2013,20.44516129,9.896774194,21.00322581,10.72903226,25.32258065,13.7516129
8/31/2013,19.23225806,9.729032258,20.91290323,11.08064516,24.07419355,13.63870968
9/30/2013,21.26333333,9.426666667,23.61333333,9.32,26.27,12.85
10/31/2013,21.56451613,8.938709677,24.64193548,8.209677419,26.6483871,12.62258065
11/30/2013,22.52,8.386666667,26.06,7.1,27.39333333,9.493333333
12/31/2013,22.6483871,6.883870968,26.1,3.25483871,27.29677419,5.603225806
1/31/2014,23.31290323,8.196774194,27.36129032,5.741935484,28.62580645,5.948387097
2/28/2014,25.17037037,8.9,28.35555556,5.407142857,29.85714286,6.085714286
3/31/2014,24.67741935,10.45806452,28.09032258,9.225806452,30.92258065,11.11290323
4/30/2014,25.20666667,10.49666667,28.13,10.64333333,30.94333333,13.808
5/31/2014,24.24193548,10.97419355,25.60322581,11.02580645,28.86129032,14.56129032
6/30/2014,23.93666667,10.16333333,24.48666667,10.13666667,28.15333333,14.1
7/31/2014,21.91935484,10.59677419,22.33870968,11.72258065,26.23870968,14.46451613
8/31/2014,20.03225806,10.16451613,22.37419355,10.12903226,25.43870968,13.48709677
9/30/2014,21.09666667,9.47,23.66333333,9.626666667,26.01,13.39666667
10/31/2014,21.25483871,9.306451613,25.69677419,8.258064516,27.36774194,13.61612903
11/30/2014,22.09333333,8.273333333,27.18333333,6.653333333,27.94,10.19
12/31/2014,22.00645161,7.851612903,26.7483871,4.409677419,27.73870968,6.290322581
1/31/2015,22.8516129,7.570967742,27.77419355,3.683870968,28.46129032,5.506451613
2/28/2015,25.26428571,9.975,30.025,6.371428571,31.31071429,8.085714286
3/31/2015,25.72903226,11.0483871,29.41935484,9.01,32.54193548,12.07419355
4/30/2015,26.5,11.85,29.99333333,9.29,32.96666667,12.97
5/31/2015,24.06451613,11.52258065,26.12580645,9.84516129,30.26774194,14.61290323
6/30/2015,22.44,11.11,24.35,10.57857143,27.92333333,14.1
7/31/2015,20.79354839,10.46774194,22.96129032,10.12903226,27.10967742,13.51290323
8/31/2015,20.15806452,10.49032258,22.68387097,11.15483871,26.74516129,13.91935484
9/30/2015,20.87333333,9.183333333,23.80666667,9.18,27.54333333,13.26
10/31/2015,22.82903226,8.841935484,25.99354839,8.906451613,28.14193548,14.96451613
11/30/2015,22.22333333,9.016666667,24.93333333,8.53,28.09,11.84333333
12/31/2015,21.1516129,8.596774194,24.85483871,9.158064516,27.81612903,10.34193548
1/31/2016,22.50967742,7.219354839,26.19032258,5.441935484,28.58666667,6.803333333
2/29/2016,24.8862069,9.14137931,27.50344828,7.34137931,,
3/31/2016,26.93870968,11.57419355,30.50967742,10.61290323,,
4/30/2016,,,29.16,11.00666667,,
5/31/2016,22.56774194,11.02580645,25.32580645,12.03225806,29.60322581,15.0516129
6/30/2016,22.28,10.94666667,24.64,11.66,28.37333333,13.97931034
7/31/2016,19.26129032,9.619354839,21.82580645,11.79354839,25.31290323,13.80967742
8/31/2016,19.53225806,10.33548387,21.80322581,11.73870968,25.55806452,13.90645161
9/30/2016,20.45333333,9.54,23.05333333,10.57333333,27.15666667,13.38666667
10/31/2016,20.7483871,8.964516129,24.81935484,9.25483871,28.13225806,13.38387097
11/30/2016,22.61666667,7.53,25.53333333,4.83,28.21666667,7.43
12/31/2016,22.70967742,7.206451613,25.25483871,4.748387097,28.32258065,5.783870968
1/31/2017,23.61612903,6.548387097,27.04193548,2.925806452,29.50666667,3.58
2/28/2017,24.43214286,8.635714286,26.925,10.24285714,29.99285714,11.18928571
3/31/2017,24.63333333,11.19032258,28.6516129,10.17419355,31.25806452,10.06774194
4/30/2017,25.07,11.26666667,28.43333333,11.21,32.02666667,14.15666667
5/31/2017,22.37741935,10.87096774,25.00645161,12.05483871,29.1,14.8516129
6/30/2017,23.48666667,10.71666667,25.04333333,11.32,28.72333333,13.74666667
7/31/2017,20.56451613,10.1483871,22.36774194,11.71290323,26.20967742,14.26774194
8/31/2017,19.28709677,9.574193548,21.99032258,11.7,25.34516129,13.94193548
9/30/2017,21.25,10.79333333,23.49,10.98,26.88,13.59
10/31/2017,21.40322581,8.970967742,24.34193548,10.24193548,27.31612903,14.1483871
11/30/2017,21.94666667,7.413333333,24.49333333,6.54,27.39666667,9.963333333
12/31/2017,22.21935484,7.212903226,25.35806452,3.783870968,27.31612903,6.758064516
