date,DISCH
12/31/2016,51.13444752
1/31/2017,38.04541864
2/28/2017,9.996140859
3/31/2017,4.438958065
4/30/2017,5.828523656
5/31/2017,12.28969462
6/30/2017,17.34667097
7/31/2017,75.33583657
8/31/2017,104.3289196
9/30/2017,125.4670977
10/31/2017,80.15378159
11/30/2017,51.37688315
12/31/2017,27.04839537
