Date ,PRECP_AG,PRECP_DT,PRECP_MK,PRECP_BD,PRECP_GM
11-May,2.157894737,5.674193548,3.729032258,5.667741935,2.157894737
11-Jun,,4.43,8.443333333,8.58,3.424552334
11-Jul,1.251612903,11.6,11.98387097,17.06774194,1.251612903
11-Aug,2.738709677,12.6516129,,12.72903226,2.738709677
11-Sep,0.61,8.656666667,6.04,8.375862069,0.61
11-Oct,,1.625806452,0.935483871,0.629032258,2.003306735
11-Nov,0.626666667,2.886666667,2.976666667,0.806896552,0.626666667
11-Dec,,0,0,0,2.269936276
12-Jan,0,0,0,0,0
12-Feb,,0,0,0,0.3481
12-Mar,0.241935484,1.090322581,1.016129032,0.116129032,0.241935484
12-Apr,0.29,0,0.28,0,0.29
12-May,2.8,1.84516129,1.909677419,0.56,2.8
12-Jun,11.26666667,9.256666667,8.66,6.14,11.26666667
12-Jul,13.93225806,12.55806452,10.24193548,16.64193548,13.93225806
12-Aug,10.53870968,14.44193548,8.180645161,16.93225806,10.53870968
12-Sep,0.773333333,7.133333333,8.62,11.14666667,0.773333333
12-Oct,0.806451613,0.787096774,2.464516129,0.129032258,0.806451613
12-Nov,0.833333333,1.376666667,0.866666667,0.233333333,0.833333333
12-Dec,0.806451613,0.129032258,0.774193548,0.822580645,0.3481
13-Jan,0.677419355,0.067741935,0.087096774,0,0.3481
13-Feb,0,0.15,0,0,0.3481
13-Mar,0.177419355,0.896666667,0.438709677,0,0.3481
13-Apr,1.076666667,1.143333333,0.68,0.136666667,0.3481
13-May,2.661290323,1.75483871,2.206451613,3.393548387,0.3481
13-Jun,9.356666667,8.463333333,6.15,6.883333333,9.356666667
13-Jul,13.25806452,13.64516129,14.59677419,24.67741935,13.25806452
13-Aug,10.02580645,14.16451613,9.848387097,14.85806452,10.02580645
13-Sep,8.04,4.376666667,4.36,3.986666667,8.04
13-Oct,6.490322581,5.351612903,4.64516129,5.003225806,6.490322581
13-Nov,1.25,1.13,1.916666667,0.833333333,1.25
13-Dec,0,0.177419355,0.012903226,0,0
14-Jan,0,0.174193548,1.222580645,0,0
14-Feb,0.053571429,0.153571429,0.153571429,0.039285714,0.3481
14-Mar,2.016129032,4.887096774,1.364516129,2.783870968,2.016129032
14-Apr,2.233333333,2.223333333,2.396666667,1.17,0.3481
14-May,6.258064516,6.558064516,5.303225806,5.04516129,6.258064516
14-Jun,,5.506666667,5.136666667,5.653333333,1.509651852
14-Jul,11.06451613,10.99354839,8.229032258,11.50322581,11.06451613
14-Aug,12.06451613,14.63225806,9.841935484,16.2,10.02580645
14-Sep,6.516666667,7.406666667,4.36,8.263333333,6.516666667
14-Oct,3.032258065,2.777419355,2.712903226,4.193548387,3.032258065
14-Nov,0.316666667,1.693333333,1.123333333,0.023333333,0.316666667
14-Dec,,0,0.009677419,0,2.442406746
15-Jan,0,0,0.041935484,0,0
15-Feb,0.035714286,0.157142857,0.096428571,0.035714286,0.3481
15-Mar,0.306451613,0.577419355,1.464516129,0.006451613,0.3481
15-Apr,0.033333333,0.276666667,0.286666667,0,0.3481
15-May,4.016129032,5.687096774,7.832258065,5.187096774,4.016129032
15-Jun,6.716666667,4.306666667,4.893333333,4.59,6.716666667
15-Jul,5.919354839,7.551612903,10.17419355,12.35483871,5.919354839
15-Aug,13.38709677,9.167741935,11.4,8.583870968,13.38709677
15-Sep,6.783333333,6.683333333,6.856666667,5.67,6.783333333
15-Oct,3.596774194,0.858064516,0.935483871,3.764516129,3.596774194
15-Nov,2.766666667,2.783333333,4.333333333,0.45,2.766666667
15-Dec,1.806451613,1.212903226,1.080645161,1.096774194,1.806451613
16-Jan,0,0.051612903,0,0,0
16-Feb,0.051724138,0,0.031034483,,0.3481
16-Mar,0.532258065,1.093548387,0.487096774,,0.3481
16-Apr,0.766666667,,1.096666667,,0.766666667
